date,longitude,latitude,Elevation,Rain,T2M,CLOUD_AMT,RH2M,ALLSKY_SFC_SW_DWN
20010101,89.42,27.43,3436.91,0.11,0.94,78.58,74.08,5.6
20010102,89.42,27.43,3436.91,0.34,-1.26,65.3,76.29,12.26
20010103,89.42,27.43,3436.91,0.0,-2.37,55.15,69.52,14.29
20010104,89.42,27.43,3436.91,0.01,-3.81,64.61,70.26,10.93
20010105,89.42,27.43,3436.91,0.0,-3.68,48.88,51.91,14.55
20010106,89.42,27.43,3436.91,0.0,-3.14,50.11,49.11,15.0
20010107,89.42,27.43,3436.91,0.0,-3.62,53.25,57.45,15.05
20010108,89.42,27.43,3436.91,0.0,-4.49,48.88,52.65,14.91
20010109,89.42,27.43,3436.91,0.0,-5.59,62.42,65.79,12.64
20010110,89.42,27.43,3436.91,0.0,-3.76,66.27,55.83,11.13
20010111,89.42,27.43,3436.91,0.0,-1.84,56.21,48.58,10.65
20010112,89.42,27.43,3436.91,0.0,-0.64,61.55,46.64,13.97
20010113,89.42,27.43,3436.91,0.0,-2.74,69.08,51.98,11.59
20010114,89.42,27.43,3436.91,0.0,-2.82,65.52,57.6,12.73
20010115,89.42,27.43,3436.91,0.0,-2.02,57.61,64.42,14.11
20010116,89.42,27.43,3436.91,0.0,-1.96,58.31,54.02,15.74
20010117,89.42,27.43,3436.91,0.0,-1.62,48.87,50.79,16.22
20010118,89.42,27.43,3436.91,0.0,-1.09,50.34,48.0,16.11
20010119,89.42,27.43,3436.91,0.0,-0.31,46.73,46.62,17.38
20010120,89.42,27.43,3436.91,0.0,-0.62,55.25,52.89,16.41
20010121,89.42,27.43,3436.91,0.0,-1.68,60.02,52.91,14.93
20010122,89.42,27.43,3436.91,0.03,-3.33,55.71,49.91,16.23
20010123,89.42,27.43,3436.91,0.07,-5.61,80.75,69.33,6.07
20010124,89.42,27.43,3436.91,0.0,-3.92,66.13,71.59,7.93
20010125,89.42,27.43,3436.91,0.0,-1.55,48.26,53.79,8.49
20010126,89.42,27.43,3436.91,0.0,1.01,47.63,42.6,12.16
20010127,89.42,27.43,3436.91,0.0,2.54,37.15,37.1,13.95
20010128,89.42,27.43,3436.91,0.0,2.96,48.21,38.94,13.88
20010129,89.42,27.43,3436.91,0.0,4.24,52.97,40.49,16.19
20010130,89.42,27.43,3436.91,0.0,4.52,45.26,47.27,16.36
20010131,89.42,27.43,3436.91,0.0,4.36,43.21,51.44,14.63
20010201,89.42,27.43,3436.91,0.0,3.01,49.37,51.86,13.58
20010202,89.42,27.43,3436.91,0.0,0.58,39.11,48.29,16.02
20010203,89.42,27.43,3436.91,0.0,0.07,37.85,39.76,19.55
20010204,89.42,27.43,3436.91,0.0,-2.23,48.6,41.82,17.89
20010205,89.42,27.43,3436.91,0.0,-3.65,47.86,42.74,18.28
20010206,89.42,27.43,3436.91,0.0,-2.68,47.0,47.25,17.87
20010207,89.42,27.43,3436.91,0.0,-0.33,40.98,47.12,14.34
20010208,89.42,27.43,3436.91,0.0,1.25,54.03,42.1,15.12
20010209,89.42,27.43,3436.91,0.0,0.87,72.58,47.48,12.3
20010210,89.42,27.43,3436.91,0.0,0.43,51.61,54.82,15.23
20010211,89.42,27.43,3436.91,0.0,-0.41,52.63,51.2,15.4
20010212,89.42,27.43,3436.91,0.0,0.57,52.24,41.52,17.31
20010213,89.42,27.43,3436.91,0.0,1.72,62.83,36.33,16.29
20010214,89.42,27.43,3436.91,0.0,2.95,49.2,36.96,17.59
20010215,89.42,27.43,3436.91,0.0,2.42,47.48,38.56,20.0
20010216,89.42,27.43,3436.91,0.0,0.65,83.67,52.48,14.33
20010217,89.42,27.43,3436.91,0.0,0.18,64.56,64.4,16.09
20010218,89.42,27.43,3436.91,0.35,-0.28,69.85,65.08,14.05
20010219,89.42,27.43,3436.91,0.0,-0.48,70.2,72.48,12.95
20010220,89.42,27.43,3436.91,1.76,-0.92,74.34,75.19,9.05
20010221,89.42,27.43,3436.91,0.19,-2.69,76.95,78.28,10.91
20010222,89.42,27.43,3436.91,0.02,-1.94,76.09,64.67,11.66
20010223,89.42,27.43,3436.91,0.1,-0.71,78.75,60.47,12.43
20010224,89.42,27.43,3436.91,1.27,-1.52,72.14,80.06,8.27
20010225,89.42,27.43,3436.91,0.48,-1.42,58.46,77.84,5.98
20010226,89.42,27.43,3436.91,2.51,-0.52,69.47,78.66,16.22
20010227,89.42,27.43,3436.91,0.01,-0.74,67.17,67.42,18.63
20010228,89.42,27.43,3436.91,0.0,-0.38,59.15,51.88,17.38
20010301,89.42,27.43,3436.91,0.0,-0.43,67.48,53.07,17.39
20010302,89.42,27.43,3436.91,0.0,0.21,49.28,49.69,22.0
20010303,89.42,27.43,3436.91,0.0,1.84,50.85,39.44,21.98
20010304,89.42,27.43,3436.91,0.0,1.4,55.72,34.54,22.67
20010305,89.42,27.43,3436.91,0.0,-1.02,85.82,56.19,9.2
20010306,89.42,27.43,3436.91,0.0,-1.05,63.31,62.72,19.7
20010307,89.42,27.43,3436.91,0.0,0.35,57.08,51.91,19.85
20010308,89.42,27.43,3436.91,0.0,-0.02,64.74,51.84,20.02
20010309,89.42,27.43,3436.91,0.0,-0.1,70.38,50.63,17.79
20010310,89.42,27.43,3436.91,0.0,-1.33,71.66,47.45,12.71
20010311,89.42,27.43,3436.91,0.0,-0.38,58.51,52.85,20.02
20010312,89.42,27.43,3436.91,0.0,0.63,66.31,56.69,17.92
20010313,89.42,27.43,3436.91,0.47,0.75,66.11,54.46,19.83
20010314,89.42,27.43,3436.91,0.11,0.28,66.88,57.87,16.76
20010315,89.42,27.43,3436.91,0.11,0.4,61.44,57.97,17.95
20010316,89.42,27.43,3436.91,0.01,0.93,63.35,55.85,22.03
20010317,89.42,27.43,3436.91,0.66,0.36,66.46,43.76,18.25
20010318,89.42,27.43,3436.91,0.13,-0.22,63.68,42.53,22.52
20010319,89.42,27.43,3436.91,0.0,1.5,56.05,46.3,22.1
20010320,89.42,27.43,3436.91,0.0,2.79,71.41,49.97,16.05
20010321,89.42,27.43,3436.91,0.0,2.41,76.74,55.24,17.01
20010322,89.42,27.43,3436.91,1.63,2.5,83.2,66.26,14.76
20010323,89.42,27.43,3436.91,3.6,2.53,81.5,76.71,13.38
20010324,89.42,27.43,3436.91,0.09,1.68,70.11,60.96,22.17
20010325,89.42,27.43,3436.91,3.38,2.33,86.25,45.4,11.82
20010326,89.42,27.43,3436.91,0.01,1.82,81.75,49.78,11.94
20010327,89.42,27.43,3436.91,0.05,2.45,71.97,51.63,14.48
20010328,89.42,27.43,3436.91,1.36,3.49,54.32,56.59,18.21
20010329,89.42,27.43,3436.91,2.56,3.76,73.73,64.97,13.8
20010330,89.42,27.43,3436.91,1.07,3.48,71.34,57.25,22.44
20010331,89.42,27.43,3436.91,6.52,3.04,72.97,68.88,21.41
